,time,row_384,column_384,rfu_value,standard_conc,replicate,sample_set,reporter
222,00:06:00,L,17,11.408,,,,
223,00:06:00,M,17,19.963,,,,
224,00:06:00,N,17,8.556000000000001,,,,
225,00:06:00,J,19,42.778999999999996,0.0195312,a,standard,standard
226,00:06:00,K,19,51.333999999999996,0.0195312,b,standard,standard
227,00:06:00,L,19,25.666999999999998,,,,
228,00:06:00,M,19,11.408,,,,
229,00:06:00,N,19,2.852,,,,
230,00:06:00,J,21,71.298,0.0097656,a,standard,standard
231,00:06:00,K,21,51.333999999999996,0.0097656,b,standard,standard
232,00:06:00,L,21,19.963,,,,
233,00:06:00,M,21,25.666999999999998,,,,
234,00:06:00,N,21,8.556000000000001,,,,
235,00:06:00,J,23,57.038000000000004,0,a,standard,standard
236,00:06:00,K,23,39.927,0,b,standard,standard
237,00:06:00,L,23,25.666999999999998,,,,
238,00:06:00,M,23,11.408,,,,
239,00:06:00,N,23,31.371,,,,
240,00:08:00,J,1,8803.963,10,a,standard,standard
241,00:08:00,K,1,7513.554,10,b,standard,standard
242,00:08:00,L,1,51.501999999999995,,a,target_added,r5A-GGAGG-phos
243,00:08:00,M,1,11.445,,a,no_target,r5A-GGAGG-phos
244,00:08:00,N,1,28.612,,a,no_gRNA,r5A-GGAGG-phos
245,00:08:00,J,3,1985.684,5,a,standard,standard
246,00:08:00,K,3,2017.1570000000002,5,b,standard,standard
247,00:08:00,L,3,28.612,,b,target_added,r5A-GGAGG-phos
248,00:08:00,M,3,17.167,,b,no_target,r5A-GGAGG-phos
249,00:08:00,N,3,48.641000000000005,,b,no_gRNA,r5A-GGAGG-phos
250,00:08:00,J,5,855.5039999999999,2.5,a,standard,standard
251,00:08:00,K,5,783.9730000000001,2.5,b,standard,standard
252,00:08:00,L,5,829.753,,a,target_added,r5A-AAAGG-ddC
253,00:08:00,M,5,40.056999999999995,,a,no_target,r5A-AAAGG-ddC
254,00:08:00,N,5,22.89,,a,no_gRNA,r5A-AAAGG-ddC
255,00:08:00,J,7,291.844,1.25,a,standard,standard
256,00:08:00,K,7,300.428,1.25,b,standard,standard
257,00:08:00,L,7,775.39,,b,target_added,r5A-AAAGG-ddC
258,00:08:00,M,7,28.612,,b,no_target,r5A-AAAGG-ddC
259,00:08:00,N,7,34.335,,b,no_gRNA,r5A-AAAGG-ddC
260,00:08:00,J,9,123.03200000000001,0.625,a,standard,standard
261,00:08:00,K,9,105.865,0.625,b,standard,standard
262,00:08:00,L,9,4964.21,,a,target_added,r17A-r3C
263,00:08:00,M,9,331.901,,a,no_target,r17A-r3C
264,00:08:00,N,9,655.219,,a,no_gRNA,r17A-r3C
265,00:08:00,J,11,134.477,0.3125,a,standard,standard
266,00:08:00,K,11,128.755,0.3125,b,standard,standard
267,00:08:00,L,11,4886.957,,b,target_added,r17A-r3C
268,00:08:00,M,11,406.293,,b,no_target,r17A-r3C
269,00:08:00,N,11,987.12,,b,no_gRNA,r17A-r3C
270,00:08:00,J,13,71.53,0.15625,a,standard,standard
271,00:08:00,K,13,82.975,0.15625,b,standard,standard
272,00:08:00,L,13,11.445,,a,target_added,H20
273,00:08:00,M,13,28.612,,a,no_target,H20
274,00:08:00,N,13,22.89,,a,no_gRNA,H20
275,00:08:00,J,15,62.946999999999996,0.078125,a,standard,standard
276,00:08:00,K,15,88.698,0.078125,b,standard,standard
277,00:08:00,L,15,31.473000000000003,,b,target_added,H20
278,00:08:00,M,15,40.056999999999995,,b,no_target,H20
279,00:08:00,N,15,25.750999999999998,,b,no_gRNA,H20
280,00:08:00,J,17,71.53,0.0390625,a,standard,standard
281,00:08:00,K,17,100.14299999999999,0.0390625,b,standard,standard
282,00:08:00,L,17,17.167,,,,
283,00:08:00,M,17,37.196,,,,
284,00:08:00,N,17,11.445,,,,
285,00:08:00,J,19,57.224,0.0195312,a,standard,standard
286,00:08:00,K,19,20.029,0.0195312,b,standard,standard
287,00:08:00,L,19,28.612,,,,
288,00:08:00,M,19,5.722,,,,
289,00:08:00,N,19,22.89,,,,
290,00:08:00,J,21,48.641000000000005,0.0097656,a,standard,standard
291,00:08:00,K,21,54.363,0.0097656,b,standard,standard
292,00:08:00,L,21,25.750999999999998,,,,
293,00:08:00,M,21,31.473000000000003,,,,
294,00:08:00,N,21,11.445,,,,
295,00:08:00,J,23,34.335,0,a,standard,standard
296,00:08:00,K,23,42.918,0,b,standard,standard
297,00:08:00,L,23,60.086000000000006,,,,
298,00:08:00,M,23,20.029,,,,
299,00:08:00,N,23,25.750999999999998,,,,
300,00:10:00,J,1,8875.813,10,a,standard,standard
301,00:10:00,K,1,7975.078,10,b,standard,standard
302,00:10:00,L,1,14.297,,a,target_added,r5A-GGAGG-phos
303,00:10:00,M,1,25.735,,a,no_target,r5A-GGAGG-phos
304,00:10:00,N,1,17.157,,a,no_gRNA,r5A-GGAGG-phos
305,00:10:00,J,3,2121.731,5,a,standard,standard
306,00:10:00,K,3,2258.986,5,b,standard,standard
307,00:10:00,L,3,28.595,,b,target_added,r5A-GGAGG-phos
308,00:10:00,M,3,11.437999999999999,,b,no_target,r5A-GGAGG-phos
309,00:10:00,N,3,28.595,,b,no_gRNA,r5A-GGAGG-phos
310,00:10:00,J,5,829.248,2.5,a,standard,standard
311,00:10:00,K,5,957.924,2.5,b,standard,standard
312,00:10:00,L,5,940.768,,a,target_added,r5A-AAAGG-ddC
313,00:10:00,M,5,22.875999999999998,,a,no_target,r5A-AAAGG-ddC
314,00:10:00,N,5,20.016,,a,no_gRNA,r5A-AAAGG-ddC
315,00:10:00,J,7,280.22900000000004,1.25,a,standard,standard
316,00:10:00,K,7,357.434,1.25,b,standard,standard
317,00:10:00,L,7,883.578,,b,target_added,r5A-AAAGG-ddC
318,00:10:00,M,7,8.578,,b,no_target,r5A-AAAGG-ddC
319,00:10:00,N,7,22.875999999999998,,b,no_gRNA,r5A-AAAGG-ddC
320,00:10:00,J,9,111.52,0.625,a,standard,standard
321,00:10:00,K,9,168.709,0.625,b,standard,standard
322,00:10:00,L,9,5292.89,,a,target_added,r17A-r3C
323,00:10:00,M,9,386.029,,a,no_target,r17A-r3C
324,00:10:00,N,9,757.7610000000001,,a,no_gRNA,r17A-r3C
325,00:10:00,J,11,105.801,0.3125,a,standard,standard
326,00:10:00,K,11,108.66,0.3125,b,standard,standard
327,00:10:00,L,11,5375.814,,b,target_added,r17A-r3C
328,00:10:00,M,11,388.889,,b,no_target,r17A-r3C
329,00:10:00,N,11,1103.758,,b,no_gRNA,r17A-r3C
330,00:10:00,J,13,71.487,0.15625,a,standard,standard
331,00:10:00,K,13,54.33,0.15625,b,standard,standard
332,00:10:00,L,13,25.735,,a,target_added,H20
333,00:10:00,M,13,31.454,,a,no_target,H20
334,00:10:00,N,13,31.454,,a,no_gRNA,H20
335,00:10:00,J,15,71.487,0.078125,a,standard,standard
336,00:10:00,K,15,85.78399999999999,0.078125,b,standard,standard
337,00:10:00,L,15,14.297,,b,target_added,H20
338,00:10:00,M,15,11.437999999999999,,b,no_target,H20
339,00:10:00,N,15,11.437999999999999,,b,no_gRNA,H20
340,00:10:00,J,17,85.78399999999999,0.0390625,a,standard,standard
341,00:10:00,K,17,120.098,0.0390625,b,standard,standard
342,00:10:00,L,17,11.437999999999999,,,,
343,00:10:00,M,17,25.735,,,,
344,00:10:00,N,17,37.173,,,,
345,00:10:00,J,19,45.751999999999995,0.0195312,a,standard,standard
346,00:10:00,K,19,51.471000000000004,0.0195312,b,standard,standard
347,00:10:00,L,19,28.595,,,,
348,00:10:00,M,19,5.718999999999999,,,,
349,00:10:00,N,19,11.437999999999999,,,,
350,00:10:00,J,21,40.033,0.0097656,a,standard,standard
351,00:10:00,K,21,51.471000000000004,0.0097656,b,standard,standard
352,00:10:00,L,21,11.437999999999999,,,,
353,00:10:00,M,21,37.173,,,,
354,00:10:00,N,21,14.297,,,,
355,00:10:00,J,23,42.891999999999996,0,a,standard,standard
356,00:10:00,K,23,57.19,0,b,standard,standard
357,00:10:00,L,23,11.437999999999999,,,,
358,00:10:00,M,23,5.718999999999999,,,,
359,00:10:00,N,23,22.875999999999998,,,,
360,00:12:00,J,1,8999.382,10,a,standard,standard
361,00:12:00,K,1,7499.485,10,b,standard,standard
362,00:12:00,L,1,51.523,,a,target_added,r5A-GGAGG-phos
363,00:12:00,M,1,28.624000000000002,,a,no_target,r5A-GGAGG-phos
364,00:12:00,N,1,31.486,,a,no_gRNA,r5A-GGAGG-phos
365,00:12:00,J,3,2204.047,5,a,standard,standard
366,00:12:00,K,3,2433.0389999999998,5,b,standard,standard
367,00:12:00,L,3,48.661,,b,target_added,r5A-GGAGG-phos
368,00:12:00,M,3,17.174,,b,no_target,r5A-GGAGG-phos
369,00:12:00,N,3,45.798,,b,no_gRNA,r5A-GGAGG-phos
370,00:12:00,J,5,904.518,2.5,a,standard,standard
371,00:12:00,K,5,964.628,2.5,b,standard,standard
372,00:12:00,L,5,936.0039999999999,,a,target_added,r5A-AAAGG-ddC
373,00:12:00,M,5,11.45,,a,no_target,r5A-AAAGG-ddC
374,00:12:00,N,5,14.312000000000001,,a,no_gRNA,r5A-AAAGG-ddC
375,00:12:00,J,7,326.313,1.25,a,standard,standard
376,00:12:00,K,7,349.213,1.25,b,standard,standard
