,time,row_384,column_384,rfu_value,replicate,target_added,reporter,phos,gRNA_used
302,01:00:00,G,8,171.03400000000002,b,no_target,RNA-FAM,phos,IVT-H6
303,01:00:00,H,8,172.77200000000002,b,no_target,RNA-FAM,phos,IVT-H6
304,01:00:00,E,10,283.368,a,target_added,RNA-FAM,phos,IVT-G8
305,01:00:00,F,10,296.16200000000003,a,target_added,RNA-FAM,phos,IVT-G8
306,01:00:00,G,10,192.019,b,no_target,RNA-FAM,phos,IVT-G8
307,01:00:00,H,10,188.18099999999998,b,no_target,RNA-FAM,phos,IVT-G8
308,01:00:00,E,12,384.64099999999996,a,target_added,RNA-FAM,phos,IVT-C4
309,01:00:00,F,12,404.13199999999995,a,target_added,RNA-FAM,phos,IVT-C4
310,01:00:00,G,12,171.908,b,no_target,RNA-FAM,phos,IVT-C4
311,01:00:00,H,12,173.558,b,no_target,RNA-FAM,phos,IVT-C4
312,01:00:00,E,14,422.82800000000003,a,target_added,RNA-FAM,no_phos,syn-11C
313,01:00:00,F,14,429.425,a,target_added,RNA-FAM,no_phos,syn-11C
314,01:00:00,G,14,243.067,b,no_target,RNA-FAM,no_phos,syn-11C
315,01:00:00,H,14,168.637,b,no_target,RNA-FAM,no_phos,syn-11C
316,01:00:00,E,16,481.936,a,target_added,RNA-FAM,no_phos,IVT-11C
317,01:00:00,F,16,467.915,a,target_added,RNA-FAM,no_phos,IVT-11C
318,01:00:00,G,16,181.957,b,no_target,RNA-FAM,no_phos,IVT-11C
319,01:00:00,H,16,182.078,b,no_target,RNA-FAM,no_phos,IVT-11C
320,01:00:00,E,18,288.637,a,target_added,RNA-FAM,no_phos,IVT-B1
321,01:00:00,F,18,290.137,a,target_added,RNA-FAM,no_phos,IVT-B1
322,01:00:00,G,18,185.398,b,no_target,RNA-FAM,no_phos,IVT-B1
323,01:00:00,H,18,188.019,b,no_target,RNA-FAM,no_phos,IVT-B1
324,01:00:00,E,20,399.586,a,target_added,RNA-FAM,no_phos,IVT-H6
325,01:00:00,F,20,399.529,a,target_added,RNA-FAM,no_phos,IVT-H6
