,experiment,read,read_number,row,column,well,rfu_value,sample_set,concentration,concentration_target_molecules,concentration_target_molecules_number
134,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,C,7,C7,1378.88,NANCY_DREW,400fM,2.4E5,2.4E5
135,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,C,7,C7,1373.88,NANCY_DREW,400fM,2.4E5,2.4E5
136,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,C,7,C7,1344.68,NANCY_DREW,400fM,2.4E5,2.4E5
137,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,C,7,C7,1345.98,NANCY_DREW,400fM,2.4E5,2.4E5
138,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,C,8,C8,1403.78,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
139,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,C,8,C8,1362.78,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
140,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,C,8,C8,1373.68,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
141,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,C,8,C8,1357.98,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
142,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,C,8,C8,1351.98,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
143,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,C,8,C8,1324.37,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
144,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,D,1,D1,1382.78,UMP_Standards,10uM,6E13,6E13
145,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,D,1,D1,1420.48,UMP_Standards,10uM,6E13,6E13
146,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,D,1,D1,1350.78,UMP_Standards,10uM,6E13,6E13
147,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,D,1,D1,1344.08,UMP_Standards,10uM,6E13,6E13
148,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,D,1,D1,1356.88,UMP_Standards,10uM,6E13,6E13
149,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,D,1,D1,1350.88,UMP_Standards,10uM,6E13,6E13
150,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,D,2,D2,1398.98,UMP_Standards,1uM,6E12,6E12
151,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,D,2,D2,1378.78,UMP_Standards,1uM,6E12,6E12
152,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,D,2,D2,1394.38,UMP_Standards,1uM,6E12,6E12
153,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,D,2,D2,1388.28,UMP_Standards,1uM,6E12,6E12
154,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,D,2,D2,1398.28,UMP_Standards,1uM,6E12,6E12
155,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,D,2,D2,1372.28,UMP_Standards,1uM,6E12,6E12
156,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,D,3,D3,1398.08,UMP_Standards,100nM,6E11,6E11
157,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,D,3,D3,1370.18,UMP_Standards,100nM,6E11,6E11
158,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,D,3,D3,1412.98,UMP_Standards,100nM,6E11,6E11
