,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,RNAseT,gRNA,target,background_DNA,background_DNA_mass,hours,minutes,seconds,kit
187,00:10:00,M,17,39.141,a,IS_gRNAs,,r17Ar3C,RNAseT,no_gRNA,IS1081_H6,none,none,00,10,00,AMP
188,00:10:00,N,17,25.162,b,IS_gRNAs,,r17Ar3C,RNAseT,no_gRNA,IS1081_H6,none,none,00,10,00,AMP
189,00:10:00,A,19,30.754,a,AMP_standard,0.0195312,,,,,,,00,10,00,AMP
190,00:10:00,B,19,8.387,b,AMP_standard,0.0195312,,,,,,,00,10,00,AMP
191,00:10:00,C,19,13.979,c,AMP_standard,0.0195312,,,,,,,00,10,00,AMP
192,00:10:00,E,19,142.586,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,40ng,00,10,00,AMP
193,00:10:00,G,19,8177.735,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,40ng,00,10,00,AMP
194,00:10:00,I,19,8426.562,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,40ng,00,10,00,AMP
195,00:10:00,K,19,246.031,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,40ng,00,10,00,AMP
196,00:10:00,M,19,41.937,a,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,no_target,none,none,00,10,00,AMP
197,00:10:00,N,19,22.366,b,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,no_target,none,none,00,10,00,AMP
198,00:10:00,A,21,25.162,a,AMP_standard,0.0097656,,,,,,,00,10,00,AMP
199,00:10:00,B,21,16.775,b,AMP_standard,0.0097656,,,,,,,00,10,00,AMP
200,00:10:00,C,21,22.366,c,AMP_standard,0.0097656,,,,,,,00,10,00,AMP
201,00:10:00,E,21,164.953,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,4ng,00,10,00,AMP
202,00:10:00,G,21,7864.605,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,4ng,00,10,00,AMP
203,00:10:00,I,21,7599.003,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,4ng,00,10,00,AMP
204,00:10:00,K,21,89.466,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,4ng,00,10,00,AMP
205,00:10:00,M,21,13.979,a,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,IS6110_A7,none,none,00,10,00,AMP
206,00:10:00,N,21,16.775,b,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,IS6110_A7,none,none,00,10,00,AMP
207,00:10:00,A,23,5.592,a,AMP_standard,0,,,,,,,00,10,00,AMP
208,00:10:00,B,23,19.571,b,AMP_standard,0,,,,,,,00,10,00,AMP
209,00:10:00,C,23,11.183,c,AMP_standard,0,,,,,,,00,10,00,AMP
210,00:10:00,E,23,123.016,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,0ng,00,10,00,AMP
211,00:10:00,G,23,8334.301,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,0ng,00,10,00,AMP
212,00:10:00,I,23,6989.517,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,0ng,00,10,00,AMP
213,00:10:00,K,23,148.178,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,0ng,00,10,00,AMP
214,00:10:00,M,23,33.55,a,IS_gRNAs,,r17Ar3C,no_RNAseT,IS1081_H6,IS1081_H6,none,none,00,10,00,AMP
215,00:10:00,N,23,30.754,b,IS_gRNAs,,r17Ar3C,no_RNAseT,IS1081_H6,IS1081_H6,none,none,00,10,00,AMP
216,00:20:00,A,1,32214.703,a,AMP_standard,10,,,,,,,00,20,00,AMP
217,00:20:00,B,1,30635.799,b,AMP_standard,10,,,,,,,00,20,00,AMP
