,Unnamed: 0,time,row_384,column_384,rfu_value,stock_conc,target_DNA,replicate
230,914,00:40:00,C,20,3.724,0.703125,no_target,a
231,915,00:40:00,D,20,3.23,0.703125,no_target,b
232,928,00:40:00,A,22,5.992000000000001,0.35156,target_added,a
233,929,00:40:00,B,22,7.205,0.35156,target_added,b
234,930,00:40:00,C,22,3.181,0.35156,no_target,a
235,931,00:40:00,D,22,2.98,0.35156,no_target,b
236,944,00:40:00,A,24,5.312,0.0,target_added,a
237,945,00:40:00,B,24,6.046,0.0,target_added,b
238,946,00:40:00,C,24,4.082,0.0,no_target,a
239,947,00:40:00,D,24,3.353,0.0,no_target,b
240,960,00:50:00,A,2,6.483,360.0,target_added,a
241,961,00:50:00,B,2,5.555,360.0,target_added,b
242,962,00:50:00,C,2,3.12,360.0,no_target,a
243,963,00:50:00,D,2,3.337,360.0,no_target,b
244,976,00:50:00,A,4,6.457000000000002,180.0,target_added,a
245,977,00:50:00,B,4,5.972,180.0,target_added,b
246,978,00:50:00,C,4,3.29,180.0,no_target,a
247,979,00:50:00,D,4,2.987,180.0,no_target,b
248,992,00:50:00,A,6,6.395,90.0,target_added,a
249,993,00:50:00,B,6,6.337999999999999,90.0,target_added,b
250,994,00:50:00,C,6,3.0210000000000004,90.0,no_target,a
251,995,00:50:00,D,6,3.162,90.0,no_target,b
252,1008,00:50:00,A,8,7.16,45.0,target_added,a
253,1009,00:50:00,B,8,6.1610000000000005,45.0,target_added,b
254,1010,00:50:00,C,8,3.048,45.0,no_target,a
255,1011,00:50:00,D,8,2.875,45.0,no_target,b
256,1024,00:50:00,A,10,6.435,22.5,target_added,a
257,1025,00:50:00,B,10,6.5310000000000015,22.5,target_added,b
258,1026,00:50:00,C,10,3.123,22.5,no_target,a
259,1027,00:50:00,D,10,3.675,22.5,no_target,b
260,1040,00:50:00,A,12,7.029,11.25,target_added,a
261,1041,00:50:00,B,12,7.388,11.25,target_added,b
262,1042,00:50:00,C,12,3.411,11.25,no_target,a
263,1043,00:50:00,D,12,3.184,11.25,no_target,b
264,1056,00:50:00,A,14,8.203,5.625,target_added,a
265,1057,00:50:00,B,14,8.011000000000001,5.625,target_added,b
266,1058,00:50:00,C,14,2.752,5.625,no_target,a
267,1059,00:50:00,D,14,3.176,5.625,no_target,b
268,1072,00:50:00,A,16,7.974,2.8125,target_added,a
269,1073,00:50:00,B,16,8.06,2.8125,target_added,b
270,1074,00:50:00,C,16,3.142,2.8125,no_target,a
271,1075,00:50:00,D,16,3.024,2.8125,no_target,b
272,1088,00:50:00,A,18,7.029,1.40625,target_added,a
273,1089,00:50:00,B,18,7.338999999999999,1.40625,target_added,b
274,1090,00:50:00,C,18,2.914,1.40625,no_target,a
275,1091,00:50:00,D,18,2.781,1.40625,no_target,b
276,1104,00:50:00,A,20,7.579,0.703125,target_added,a
277,1105,00:50:00,B,20,7.792999999999998,0.703125,target_added,b
278,1106,00:50:00,C,20,3.579,0.703125,no_target,a
279,1107,00:50:00,D,20,3.0010000000000003,0.703125,no_target,b
280,1120,00:50:00,A,22,7.053,0.35156,target_added,a
281,1121,00:50:00,B,22,8.088,0.35156,target_added,b
282,1122,00:50:00,C,22,3.1210000000000004,0.35156,no_target,a
283,1123,00:50:00,D,22,3.154,0.35156,no_target,b
284,1136,00:50:00,A,24,5.999,0.0,target_added,a
285,1137,00:50:00,B,24,7.117000000000001,0.0,target_added,b
286,1138,00:50:00,C,24,4.073,0.0,no_target,a
287,1139,00:50:00,D,24,3.213,0.0,no_target,b
288,1152,01:00:00,A,2,7.23,360.0,target_added,a
289,1153,01:00:00,B,2,6.244,360.0,target_added,b
290,1154,01:00:00,C,2,3.1660000000000004,360.0,no_target,a
291,1155,01:00:00,D,2,3.369,360.0,no_target,b
292,1168,01:00:00,A,4,7.28,180.0,target_added,a
293,1169,01:00:00,B,4,6.782,180.0,target_added,b
294,1170,01:00:00,C,4,3.09,180.0,no_target,a
295,1171,01:00:00,D,4,2.907,180.0,no_target,b
296,1184,01:00:00,A,6,7.582999999999998,90.0,target_added,a
297,1185,01:00:00,B,6,6.8439999999999985,90.0,target_added,b
298,1186,01:00:00,C,6,3.272,90.0,no_target,a
299,1187,01:00:00,D,6,3.2960000000000003,90.0,no_target,b
300,1200,01:00:00,A,8,8.398,45.0,target_added,a
301,1201,01:00:00,B,8,7.06,45.0,target_added,b
302,1202,01:00:00,C,8,2.909,45.0,no_target,a
303,1203,01:00:00,D,8,2.968,45.0,no_target,b
304,1216,01:00:00,A,10,7.274,22.5,target_added,a
305,1217,01:00:00,B,10,7.127999999999999,22.5,target_added,b
306,1218,01:00:00,C,10,3.2880000000000003,22.5,no_target,a
307,1219,01:00:00,D,10,3.936,22.5,no_target,b
308,1232,01:00:00,A,12,7.75,11.25,target_added,a
309,1233,01:00:00,B,12,8.892000000000003,11.25,target_added,b
310,1234,01:00:00,C,12,3.0780000000000003,11.25,no_target,a
311,1235,01:00:00,D,12,2.985,11.25,no_target,b
312,1248,01:00:00,A,14,10.182,5.625,target_added,a
313,1249,01:00:00,B,14,9.468,5.625,target_added,b
314,1250,01:00:00,C,14,3.0,5.625,no_target,a
315,1251,01:00:00,D,14,3.0460000000000003,5.625,no_target,b
316,1264,01:00:00,A,16,9.635,2.8125,target_added,a
317,1265,01:00:00,B,16,9.748,2.8125,target_added,b
318,1266,01:00:00,C,16,3.011,2.8125,no_target,a
319,1267,01:00:00,D,16,2.937,2.8125,no_target,b
320,1280,01:00:00,A,18,8.291,1.40625,target_added,a
321,1281,01:00:00,B,18,8.469,1.40625,target_added,b
322,1282,01:00:00,C,18,2.779,1.40625,no_target,a
323,1283,01:00:00,D,18,2.938,1.40625,no_target,b
324,1296,01:00:00,A,20,8.49,0.703125,target_added,a
325,1297,01:00:00,B,20,9.371,0.703125,target_added,b
326,1298,01:00:00,C,20,3.648,0.703125,no_target,a
327,1299,01:00:00,D,20,3.09,0.703125,no_target,b
328,1312,01:00:00,A,22,8.122,0.35156,target_added,a
329,1313,01:00:00,B,22,9.836,0.35156,target_added,b
330,1314,01:00:00,C,22,3.205,0.35156,no_target,a
331,1315,01:00:00,D,22,3.099,0.35156,no_target,b
332,1328,01:00:00,A,24,7.436,0.0,target_added,a
333,1329,01:00:00,B,24,8.33,0.0,target_added,b
334,1330,01:00:00,C,24,3.973,0.0,no_target,a
335,1331,01:00:00,D,24,3.377,0.0,no_target,b
336,1344,01:10:00,A,2,8.123,360.0,target_added,a
337,1345,01:10:00,B,2,7.055,360.0,target_added,b
338,1346,01:10:00,C,2,3.029,360.0,no_target,a
339,1347,01:10:00,D,2,3.18,360.0,no_target,b
340,1360,01:10:00,A,4,8.482000000000001,180.0,target_added,a
341,1361,01:10:00,B,4,7.775,180.0,target_added,b
342,1362,01:10:00,C,4,3.103,180.0,no_target,a
343,1363,01:10:00,D,4,3.062,180.0,no_target,b
344,1376,01:10:00,A,6,8.908999999999997,90.0,target_added,a
345,1377,01:10:00,B,6,8.285,90.0,target_added,b
346,1378,01:10:00,C,6,3.274,90.0,no_target,a
347,1379,01:10:00,D,6,3.38,90.0,no_target,b
348,1392,01:10:00,A,8,10.162,45.0,target_added,a
349,1393,01:10:00,B,8,8.325,45.0,target_added,b
350,1394,01:10:00,C,8,2.826,45.0,no_target,a
351,1395,01:10:00,D,8,2.799,45.0,no_target,b
352,1408,01:10:00,A,10,8.521,22.5,target_added,a
353,1409,01:10:00,B,10,8.532,22.5,target_added,b
354,1410,01:10:00,C,10,3.084,22.5,no_target,a
355,1411,01:10:00,D,10,3.92,22.5,no_target,b
356,1424,01:10:00,A,12,9.227,11.25,target_added,a
357,1425,01:10:00,B,12,9.796,11.25,target_added,b
358,1426,01:10:00,C,12,3.227,11.25,no_target,a
359,1427,01:10:00,D,12,3.08,11.25,no_target,b
360,1440,01:10:00,A,14,11.718,5.625,target_added,a
361,1441,01:10:00,B,14,11.292,5.625,target_added,b
362,1442,01:10:00,C,14,3.0860000000000003,5.625,no_target,a
363,1443,01:10:00,D,14,3.103,5.625,no_target,b
364,1456,01:10:00,A,16,11.208,2.8125,target_added,a
365,1457,01:10:00,B,16,11.525,2.8125,target_added,b
366,1458,01:10:00,C,16,2.991,2.8125,no_target,a
367,1459,01:10:00,D,16,3.077,2.8125,no_target,b
368,1472,01:10:00,A,18,9.638,1.40625,target_added,a
369,1473,01:10:00,B,18,9.89,1.40625,target_added,b
370,1474,01:10:00,C,18,2.819,1.40625,no_target,a
371,1475,01:10:00,D,18,2.8160000000000003,1.40625,no_target,b
372,1488,01:10:00,A,20,9.463,0.703125,target_added,a
373,1489,01:10:00,B,20,11.214,0.703125,target_added,b
374,1490,01:10:00,C,20,3.6,0.703125,no_target,a
375,1491,01:10:00,D,20,3.059,0.703125,no_target,b
376,1504,01:10:00,A,22,9.562,0.35156,target_added,a
377,1505,01:10:00,B,22,11.165,0.35156,target_added,b
378,1506,01:10:00,C,22,3.337,0.35156,no_target,a
379,1507,01:10:00,D,22,3.167,0.35156,no_target,b
380,1520,01:10:00,A,24,8.537,0.0,target_added,a
381,1521,01:10:00,B,24,9.566,0.0,target_added,b
382,1522,01:10:00,C,24,4.132,0.0,no_target,a
383,1523,01:10:00,D,24,3.639,0.0,no_target,b
384,1536,01:20:00,A,2,9.324,360.0,target_added,a
385,1537,01:20:00,B,2,7.766,360.0,target_added,b
386,1538,01:20:00,C,2,3.197,360.0,no_target,a
387,1539,01:20:00,D,2,3.1660000000000004,360.0,no_target,b
388,1552,01:20:00,A,4,9.517,180.0,target_added,a
389,1553,01:20:00,B,4,8.724,180.0,target_added,b
390,1554,01:20:00,C,4,3.187,180.0,no_target,a
391,1555,01:20:00,D,4,3.142,180.0,no_target,b
392,1568,01:20:00,A,6,10.295,90.0,target_added,a
393,1569,01:20:00,B,6,9.269,90.0,target_added,b
394,1570,01:20:00,C,6,3.1710000000000003,90.0,no_target,a
395,1571,01:20:00,D,6,3.228,90.0,no_target,b
396,1584,01:20:00,A,8,11.693,45.0,target_added,a
397,1585,01:20:00,B,8,9.813,45.0,target_added,b
398,1586,01:20:00,C,8,2.942,45.0,no_target,a
399,1587,01:20:00,D,8,2.923,45.0,no_target,b
400,1600,01:20:00,A,10,9.383,22.5,target_added,a
401,1601,01:20:00,B,10,9.215,22.5,target_added,b
402,1602,01:20:00,C,10,3.2060000000000004,22.5,no_target,a
403,1603,01:20:00,D,10,3.729,22.5,no_target,b
404,1616,01:20:00,A,12,10.541,11.25,target_added,a
405,1617,01:20:00,B,12,11.659,11.25,target_added,b
406,1618,01:20:00,C,12,3.314,11.25,no_target,a
407,1619,01:20:00,D,12,3.202,11.25,no_target,b
408,1632,01:20:00,A,14,13.564,5.625,target_added,a
409,1633,01:20:00,B,14,13.334,5.625,target_added,b
410,1634,01:20:00,C,14,2.866,5.625,no_target,a
411,1635,01:20:00,D,14,3.082,5.625,no_target,b
412,1648,01:20:00,A,16,12.967,2.8125,target_added,a
413,1649,01:20:00,B,16,13.206,2.8125,target_added,b
414,1650,01:20:00,C,16,3.089,2.8125,no_target,a
415,1651,01:20:00,D,16,2.85,2.8125,no_target,b
416,1664,01:20:00,A,18,11.324000000000002,1.40625,target_added,a
417,1665,01:20:00,B,18,11.85,1.40625,target_added,b
418,1666,01:20:00,C,18,2.925,1.40625,no_target,a
419,1667,01:20:00,D,18,2.7460000000000004,1.40625,no_target,b
420,1680,01:20:00,A,20,10.755,0.703125,target_added,a
421,1681,01:20:00,B,20,13.175,0.703125,target_added,b
422,1682,01:20:00,C,20,3.808,0.703125,no_target,a
423,1683,01:20:00,D,20,3.16,0.703125,no_target,b
424,1696,01:20:00,A,22,10.765,0.35156,target_added,a
425,1697,01:20:00,B,22,12.928,0.35156,target_added,b
426,1698,01:20:00,C,22,3.082,0.35156,no_target,a
427,1699,01:20:00,D,22,3.132,0.35156,no_target,b
428,1712,01:20:00,A,24,9.478,0.0,target_added,a
429,1713,01:20:00,B,24,10.845,0.0,target_added,b
430,1714,01:20:00,C,24,4.002,0.0,no_target,a
431,1715,01:20:00,D,24,3.527,0.0,no_target,b
432,1728,01:30:00,A,2,10.214,360.0,target_added,a
433,1729,01:30:00,B,2,8.759,360.0,target_added,b
434,1730,01:30:00,C,2,3.113,360.0,no_target,a
435,1731,01:30:00,D,2,3.42,360.0,no_target,b
436,1744,01:30:00,A,4,10.411,180.0,target_added,a
437,1745,01:30:00,B,4,9.661,180.0,target_added,b
438,1746,01:30:00,C,4,3.035,180.0,no_target,a
439,1747,01:30:00,D,4,3.28,180.0,no_target,b
440,1760,01:30:00,A,6,11.603,90.0,target_added,a
441,1761,01:30:00,B,6,10.137,90.0,target_added,b
442,1762,01:30:00,C,6,3.299,90.0,no_target,a
443,1763,01:30:00,D,6,3.244,90.0,no_target,b
444,1776,01:30:00,A,8,13.274,45.0,target_added,a
445,1777,01:30:00,B,8,10.579,45.0,target_added,b
446,1778,01:30:00,C,8,2.817,45.0,no_target,a
447,1779,01:30:00,D,8,2.934,45.0,no_target,b
448,1792,01:30:00,A,10,11.06,22.5,target_added,a
449,1793,01:30:00,B,10,10.887,22.5,target_added,b
450,1794,01:30:00,C,10,3.23,22.5,no_target,a
451,1795,01:30:00,D,10,3.593,22.5,no_target,b
452,1808,01:30:00,A,12,12.482,11.25,target_added,a
453,1809,01:30:00,B,12,12.93,11.25,target_added,b
454,1810,01:30:00,C,12,3.4160000000000004,11.25,no_target,a
455,1811,01:30:00,D,12,3.31,11.25,no_target,b
456,1824,01:30:00,A,14,15.807,5.625,target_added,a
457,1825,01:30:00,B,14,15.378,5.625,target_added,b
458,1826,01:30:00,C,14,2.962,5.625,no_target,a
459,1827,01:30:00,D,14,3.0810000000000004,5.625,no_target,b
460,1840,01:30:00,A,16,15.611,2.8125,target_added,a
461,1841,01:30:00,B,16,15.207,2.8125,target_added,b
462,1842,01:30:00,C,16,2.937,2.8125,no_target,a
463,1843,01:30:00,D,16,3.28,2.8125,no_target,b
464,1856,01:30:00,A,18,13.477,1.40625,target_added,a
465,1857,01:30:00,B,18,13.324000000000002,1.40625,target_added,b
466,1858,01:30:00,C,18,2.967,1.40625,no_target,a
