,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,gRNA,target,cas12a,hours,minutes,seconds
248,248,00:50:00,A,5,399.171,c,alt-R_11C,500,NEB-Cas12a,00,50,00
249,249,00:50:00,B,5,173.17,c,alt-R_11C,5,NEB-Cas12a,00,50,00
250,250,00:50:00,C,5,394.55300000000005,c,alt-R_11C,500,IDT-Cas12a,00,50,00
251,251,00:50:00,D,5,320.237,c,alt-R_11C,5,IDT-Cas12a,00,50,00
252,252,00:50:00,A,7,369.193,a,syn_11C,500,NEB-Cas12a,00,50,00
253,253,00:50:00,B,7,139.97899999999998,a,syn_11C,5,NEB-Cas12a,00,50,00
254,254,00:50:00,C,7,386.108,a,syn_11C,500,IDT-Cas12a,00,50,00
255,255,00:50:00,D,7,252.803,a,syn_11C,5,IDT-Cas12a,00,50,00
256,256,00:50:00,A,9,400.805,b,syn_11C,500,NEB-Cas12a,00,50,00
257,257,00:50:00,B,9,141.035,b,syn_11C,5,NEB-Cas12a,00,50,00
258,258,00:50:00,C,9,409.237,b,syn_11C,500,IDT-Cas12a,00,50,00
259,259,00:50:00,D,9,250.989,b,syn_11C,5,IDT-Cas12a,00,50,00
260,260,00:50:00,A,11,389.99300000000005,c,syn_11C,500,NEB-Cas12a,00,50,00
261,261,00:50:00,B,11,133.174,c,syn_11C,5,NEB-Cas12a,00,50,00
262,262,00:50:00,C,11,399.972,c,syn_11C,500,IDT-Cas12a,00,50,00
263,263,00:50:00,D,11,266.858,c,syn_11C,5,IDT-Cas12a,00,50,00
264,264,00:50:00,A,13,399.195,a,alt-R_11C,50,NEB-Cas12a,00,50,00
265,265,00:50:00,B,13,4.104,a,alt-R_11C,0,NEB-Cas12a,00,50,00
266,266,00:50:00,C,13,400.554,a,alt-R_11C,50,IDT-Cas12a,00,50,00
267,267,00:50:00,D,13,4.043,a,alt-R_11C,0,IDT-Cas12a,00,50,00
268,268,00:50:00,A,15,395.588,b,alt-R_11C,50,NEB-Cas12a,00,50,00
269,269,00:50:00,B,15,3.945,b,alt-R_11C,0,NEB-Cas12a,00,50,00
270,270,00:50:00,C,15,389.182,b,alt-R_11C,50,IDT-Cas12a,00,50,00
271,271,00:50:00,D,15,3.872,b,alt-R_11C,0,IDT-Cas12a,00,50,00
272,272,00:50:00,A,17,408.233,c,alt-R_11C,50,NEB-Cas12a,00,50,00
273,273,00:50:00,B,17,3.966,c,alt-R_11C,0,NEB-Cas12a,00,50,00
274,274,00:50:00,C,17,413.812,c,alt-R_11C,50,IDT-Cas12a,00,50,00
275,275,00:50:00,D,17,3.618,c,alt-R_11C,0,IDT-Cas12a,00,50,00
276,276,00:50:00,A,19,361.391,a,syn_11C,50,NEB-Cas12a,00,50,00
277,277,00:50:00,B,19,4.07,a,syn_11C,0,NEB-Cas12a,00,50,00
278,278,00:50:00,C,19,380.35,a,syn_11C,50,IDT-Cas12a,00,50,00
279,279,00:50:00,D,19,3.352,a,syn_11C,0,IDT-Cas12a,00,50,00
280,280,00:50:00,A,21,350.712,b,syn_11C,50,NEB-Cas12a,00,50,00
281,281,00:50:00,B,21,3.956,b,syn_11C,0,NEB-Cas12a,00,50,00
282,282,00:50:00,C,21,361.615,b,syn_11C,50,IDT-Cas12a,00,50,00
283,283,00:50:00,D,21,3.445,b,syn_11C,0,IDT-Cas12a,00,50,00
284,284,00:50:00,A,23,313.337,c,syn_11C,50,NEB-Cas12a,00,50,00
285,285,00:50:00,B,23,4.173,c,syn_11C,0,NEB-Cas12a,00,50,00
286,286,00:50:00,C,23,324.2390000000001,c,syn_11C,50,IDT-Cas12a,00,50,00
287,287,00:50:00,D,23,3.485,c,syn_11C,0,IDT-Cas12a,00,50,00
288,288,01:00:00,A,1,381.138,a,alt-R_11C,500,NEB-Cas12a,01,00,00
289,289,01:00:00,B,1,194.031,a,alt-R_11C,5,NEB-Cas12a,01,00,00
290,290,01:00:00,C,1,391.361,a,alt-R_11C,500,IDT-Cas12a,01,00,00
291,291,01:00:00,D,1,284.555,a,alt-R_11C,5,IDT-Cas12a,01,00,00
292,292,01:00:00,A,3,381.725,b,alt-R_11C,500,NEB-Cas12a,01,00,00
293,293,01:00:00,B,3,217.028,b,alt-R_11C,5,NEB-Cas12a,01,00,00
294,294,01:00:00,C,3,395.859,b,alt-R_11C,500,IDT-Cas12a,01,00,00
295,295,01:00:00,D,3,283.686,b,alt-R_11C,5,IDT-Cas12a,01,00,00
296,296,01:00:00,A,5,390.667,c,alt-R_11C,500,NEB-Cas12a,01,00,00
297,297,01:00:00,B,5,201.005,c,alt-R_11C,5,NEB-Cas12a,01,00,00
