,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,hours,minutes,seconds
281,00:50:00,C,21,13.049,b,100uL,0.0097656,00,50,00
282,00:50:00,E,21,12.117,a,20uL,0.0097656,00,50,00
283,00:50:00,G,21,2.796,b,20uL,0.0097656,00,50,00
284,00:50:00,A,23,11.185,a,100uL,0,00,50,00
285,00:50:00,C,23,21.438,b,100uL,0,00,50,00
286,00:50:00,E,23,15.846,a,20uL,0,00,50,00
287,00:50:00,G,23,11.185,b,20uL,0,00,50,00
288,01:00:00,A,1,8935.095,a,100uL,10,01,00,00
289,01:00:00,C,1,12585.259,b,100uL,10,01,00,00
290,01:00:00,E,1,2402.581,a,20uL,10,01,00,00
291,01:00:00,G,1,2770.123,b,20uL,10,01,00,00
292,01:00:00,A,3,8227.133,a,100uL,5,01,00,00
293,01:00:00,C,3,8703.16,b,100uL,5,01,00,00
294,01:00:00,E,3,1431.822,a,20uL,5,01,00,00
295,01:00:00,G,3,1487,b,20uL,5,01,00,00
296,01:00:00,A,5,3627.719,a,100uL,2.5,01,00,00
297,01:00:00,C,5,3703.472,b,100uL,2.5,01,00,00
298,01:00:00,E,5,656.525,a,20uL,2.5,01,00,00
299,01:00:00,G,5,638.755,b,20uL,2.5,01,00,00
300,01:00:00,A,7,1301.827,a,100uL,1.25,01,00,00
301,01:00:00,C,7,1362.616,b,100uL,1.25,01,00,00
302,01:00:00,E,7,199.202,a,20uL,1.25,01,00,00
303,01:00:00,G,7,199.202,b,20uL,1.25,01,00,00
304,01:00:00,A,9,511.565,a,100uL,0.625,01,00,00
305,01:00:00,C,9,493.796,b,100uL,0.625,01,00,00
306,01:00:00,E,9,100.069,a,20uL,0.625,01,00,00
307,01:00:00,G,9,99.133,b,20uL,0.625,01,00,00
308,01:00:00,A,11,157.117,a,100uL,0.3125,01,00,00
309,01:00:00,C,11,170.21,b,100uL,0.3125,01,00,00
310,01:00:00,E,11,34.603,a,20uL,0.3125,01,00,00
311,01:00:00,G,11,43.955,b,20uL,0.3125,01,00,00
312,01:00:00,A,13,44.891,a,100uL,0.15625,01,00,00
313,01:00:00,C,13,63.595,b,100uL,0.15625,01,00,00
314,01:00:00,E,13,20.575,a,20uL,0.15625,01,00,00
315,01:00:00,G,13,21.51,b,20uL,0.15625,01,00,00
316,01:00:00,A,15,10.287,a,100uL,0.078125,01,00,00
317,01:00:00,C,15,28.057,b,100uL,0.078125,01,00,00
318,01:00:00,E,15,20.575,a,20uL,0.078125,01,00,00
319,01:00:00,G,15,20.575,b,20uL,0.078125,01,00,00
320,01:00:00,A,17,29.927,a,100uL,0.0390625,01,00,00
321,01:00:00,C,17,19.64,b,100uL,0.0390625,01,00,00
322,01:00:00,E,17,18.704,a,20uL,0.0390625,01,00,00
323,01:00:00,G,17,16.834,b,20uL,0.0390625,01,00,00
