,PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,Unnamed: 17,replicate,standard_conc,kit,sample_set,row_384,column_384
124,1,1.0,"=""=""""""""""""""""",1.0,C15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:12.239,3932.0,0.1,39320.0,,,b,0.078125,AMP,AMP_standard,C,15
126,1,1.0,"=""=""""""""""""""""",1.0,C16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:12.433,756.0,0.1,7560.0,,,water,water,water,water,C,16
128,1,1.0,"=""=""""""""""""""""",1.0,C17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:12.627,2780.0,0.1,27800.0,,,b,0.0390625,AMP,AMP_standard,C,17
130,1,1.0,"=""=""""""""""""""""",1.0,C18,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:12.821,576.0,0.1,5760.0,,,water,water,water,water,C,18
132,1,1.0,"=""=""""""""""""""""",1.0,C19,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:13.015,2912.0,0.1,29120.0,,,b,0.0195312,AMP,AMP_standard,C,19
134,1,1.0,"=""=""""""""""""""""",1.0,C20,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:13.208,580.0,0.1,5800.0,,,water,water,water,water,C,20
136,1,1.0,"=""=""""""""""""""""",1.0,C21,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:13.401,4312.0,0.1,43120.0,,,b,0.0097656,AMP,AMP_standard,C,21
138,1,1.0,"=""=""""""""""""""""",1.0,C22,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:13.594,476.0,0.1,4760.0,,,water,water,water,water,C,22
140,1,1.0,"=""=""""""""""""""""",1.0,C23,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:13.787,2612.0,0.1,26120.0,,,b,0,AMP,AMP_standard,C,23
142,1,1.0,"=""=""""""""""""""""",1.0,C24,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:13.981,288.0,0.1,2880.0,,,water,water,water,water,C,24
144,1,1.0,"=""=""""""""""""""""",1.0,D01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:18.695,17376.0,0.1,173760.0,,,b,0,AMP,AMP_0_proximal,D,01
146,1,1.0,"=""=""""""""""""""""",1.0,D02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:18.501,4396.0,0.1,43960.0,,,water,water,water,water,D,02
148,1,1.0,"=""=""""""""""""""""",1.0,D03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:18.307,10624.0,0.1,106240.0,,,b,0,AMP,AMP_0_proximal,D,03
150,1,1.0,"=""=""""""""""""""""",1.0,D04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:18.113,3992.0,0.1,39920.0,,,water,water,water,water,D,04
152,1,1.0,"=""=""""""""""""""""",1.0,D05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:17.920,9740.0,0.1,97400.0,,,b,0,AMP,AMP_0_proximal,D,05
154,1,1.0,"=""=""""""""""""""""",1.0,D06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:17.727,9296.0,0.1,92960.0,,,water,water,water,water,D,06
156,1,1.0,"=""=""""""""""""""""",1.0,D07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:17.532,9256.0,0.1,92560.0,,,b,0,AMP,AMP_0_proximal,D,07
158,1,1.0,"=""=""""""""""""""""",1.0,D08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:17.339,6072.0,0.1,60720.0,,,water,water,water,water,D,08
160,1,1.0,"=""=""""""""""""""""",1.0,D09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:17.145,5992.0,0.1,59920.0,,,b,0,AMP,AMP_0_proximal,D,09
162,1,1.0,"=""=""""""""""""""""",1.0,D10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:16.951,2964.0,0.1,29640.0,,,water,water,water,water,D,10
164,1,1.0,"=""=""""""""""""""""",1.0,D11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:16.757,3840.0,0.1,38400.0,,,b,0,AMP,AMP_0_proximal,D,11
166,1,1.0,"=""=""""""""""""""""",1.0,D12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:16.564,1556.0,0.1,15560.0,,,water,water,water,water,D,12
168,1,1.0,"=""=""""""""""""""""",1.0,D13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:16.370,2852.0,0.1,28520.0,,,b,0,AMP,AMP_0_proximal,D,13
170,1,1.0,"=""=""""""""""""""""",1.0,D14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:16.177,908.0,0.1,9080.0,,,water,water,water,water,D,14
172,1,1.0,"=""=""""""""""""""""",1.0,D15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:15.983,2780.0,0.1,27800.0,,,b,0,AMP,AMP_0_proximal,D,15
174,1,1.0,"=""=""""""""""""""""",1.0,D16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:15.789,632.0,0.1,6320.0,,,water,water,water,water,D,16
176,1,1.0,"=""=""""""""""""""""",1.0,D17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:15.595,2216.0,0.1,22160.0,,,b,0,AMP,AMP_0_proximal,D,17
178,1,1.0,"=""=""""""""""""""""",1.0,D18,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:15.401,472.0,0.1,4720.0,,,water,water,water,water,D,18
180,1,1.0,"=""=""""""""""""""""",1.0,D19,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:15.208,2480.0,0.1,24800.0,,,b,0,AMP,AMP_0_proximal,D,19
182,1,1.0,"=""=""""""""""""""""",1.0,D20,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:15.015,444.0,0.1,4440.0,,,water,water,water,water,D,20
184,1,1.0,"=""=""""""""""""""""",1.0,D21,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:14.821,2284.0,0.1,22840.0,,,b,0,AMP,AMP_0_proximal,D,21
186,1,1.0,"=""=""""""""""""""""",1.0,D22,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:14.626,456.0,0.1,4560.0,,,water,water,water,water,D,22
188,1,1.0,"=""=""""""""""""""""",1.0,D23,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:14.433,2644.0,0.1,26440.0,,,b,0,AMP,AMP_0_proximal,D,23
190,1,1.0,"=""=""""""""""""""""",1.0,D24,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:14.240,236.0,0.1,2360.0,,,water,water,water,water,D,24
192,1,1.0,"=""=""""""""""""""""",1.0,E01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:18.951,337428.0,0.1,3374280.0,,,c,10,AMP,AMP_standard,E,01
194,1,1.0,"=""=""""""""""""""""",1.0,E02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:19.144,12792.0,0.1,127920.0,,,water,water,water,water,E,02
196,1,1.0,"=""=""""""""""""""""",1.0,E03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:19.338,182280.0,0.1,1822800.0,,,c,5,AMP,AMP_standard,E,03
198,1,1.0,"=""=""""""""""""""""",1.0,E04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:19.532,17416.0,0.1,174160.0,,,water,water,water,water,E,04
200,1,1.0,"=""=""""""""""""""""",1.0,E05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:19.725,74024.0,0.1,740240.0,,,c,2.5,AMP,AMP_standard,E,05
202,1,1.0,"=""=""""""""""""""""",1.0,E06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:19.919,14136.0,0.1,141360.0,,,water,water,water,water,E,06
204,1,1.0,"=""=""""""""""""""""",1.0,E07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:20.113,35572.0,0.1,355720.0,,,c,1.25,AMP,AMP_standard,E,07
