,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate,reporter
213,213,00:40:00,B,12,160.671,standard,0.3125,standard,b,DNA-RNA-Luc
214,214,00:40:00,C,12,2109.169,no_cas12a,,IVT_11C,a,DNA-RNA-Luc
215,215,00:40:00,D,12,1676.819,no_cas12a,,IVT_11C,b,DNA-RNA-Luc
216,216,00:40:00,A,14,178.199,standard,0.15625,standard,a,DNA-RNA-Luc
217,217,00:40:00,B,14,181.12,standard,0.15625,standard,b,DNA-RNA-Luc
218,218,00:40:00,C,14,2894.996,no_cas12a,,IVT_D9_3Cs,a,DNA-RNA-Luc
219,219,00:40:00,D,14,52.583,no_cas12a,,IVT_D9_3Cs,b,DNA-RNA-Luc
220,220,00:40:00,A,16,113.93,standard,0.078125,standard,a,DNA-RNA-Luc
221,221,00:40:00,B,16,93.481,standard,0.078125,standard,b,DNA-RNA-Luc
222,222,00:40:00,C,16,154.828,no_cas12a,,none,a,DNA-RNA-Luc
223,223,00:40:00,D,16,14.606,no_cas12a,,none,b,DNA-RNA-Luc
224,224,00:40:00,A,18,75.953,standard,0.0390625,standard,a,DNA-RNA-Luc
225,225,00:40:00,B,18,113.93,standard,0.0390625,standard,b,DNA-RNA-Luc
226,226,00:40:00,C,18,125.615,no_target,,syn_11C,a,DNA-RNA-Luc
227,227,00:40:00,D,18,105.166,no_target,,syn_11C,b,DNA-RNA-Luc
228,228,00:40:00,A,20,78.875,standard,0.0195312,standard,a,DNA-RNA-Luc
229,229,00:40:00,B,20,84.71700000000001,standard,0.0195312,standard,b,DNA-RNA-Luc
230,230,00:40:00,C,20,2392.534,no_target,,IVT_11C,a,DNA-RNA-Luc
231,231,00:40:00,D,20,1524.912,no_target,,IVT_11C,b,DNA-RNA-Luc
232,232,00:40:00,A,22,146.064,standard,0.0097656,standard,a,DNA-RNA-Luc
233,233,00:40:00,B,22,84.71700000000001,standard,0.0097656,standard,b,DNA-RNA-Luc
234,234,00:40:00,C,22,2629.158,no_target,,IVT_D9_3Cs,a,DNA-RNA-Luc
